Gene1,Gene2
CCNB2,NUP107
CCNB2,KIF2B
CCNB2,RANGAP1
CCNB2,ITGB3BP
CCNB2,PAFAH1B1
CCNB2,NUDC
CCNB2,RAE1
CCNB2,NDE1
CCNB2,CENPL
CCNB2,RANBP2
CCNB2,NEK9
CCNB2,NUP133
CCNB2,NUP93
CCNB2,MIS12
CCNB2,NUP54
CCNB2,NUP62
CCNB2,NUP160
CCNB2,STAG2
CCNB2,NUP50
CCNB2,NUP153
CCNB2,NUP43
CCNB2,STAG1
CCNB2,NUP85
CCNB2,NSL1
CCNB2,GORASP1
CCNB2,DYNLL1
CCNB2,DYNLL2
CCNB2,NUP188
CCNB2,GOLGA2
CCNB2,NUP210
CCNB2,AHCTF1
CCNB2,TPR
CCNB2,RPS27
CCNB2,NUP88
CCNB2,SEC13
CCNB2,NDEL1
CCNB2,NUP214
CCNB2,TAOK1
CCNB2,POM121C
CCNB2,POM121
CCNB2,USO1
CCNB2,RAB1A
CCNB2,DYNC1LI2
CCNB2,CLASP1
CCNB2,DYNC1LI1
CCNB2,DYNC1I2
CCNB2,CLASP2
CCNB2,DYNC1I1
MCM6,POLA1
MCM6,PRIM1
MCM6,POLA2
MCM6,POLE2
MCM6,POLE
MCM6,PRIM2
MCM6,POLE3
MCM6,POLE4
SMC5,UBE2I
SMC5,STAG2
SMC5,STAG1
SMC5,SUMO1
CASP8,FAS
CASP8,FADD
CASP8,TNFRSF10B
CASP8,TNFRSF10A
CASP8,XIAP
CASP8,CFLAR
CASP8,RIPK1
CASP8,TRADD
CASP8,FASLG
CASP8,TNFSF10
CASP8,TRAF1
CASP8,TNFRSF1A
CASP8,TP53
CASP8,MAPK1
CASP8,RIPK3
CASP8,MAPK3
CASP8,MALT1
CASP8,IKBKG
CASP8,CRADD
CASP8,IL1B
CASP8,IKBKB
CASP8,CHUK
CASP8,TLR4
CASP8,TICAM1
CASP8,EZR
CASP8,MAP2K7
CASP8,RELA
CASP8,FAF1
CASP8,NFKB1
CASP8,DAXX
CASP8,PLEC
CASP8,VIM
CASP8,CYLD
CASP8,GZMB
CASP8,MADD
CASP8,CLTC
CASP8,DAP3
CASP8,TICAM2
CASP8,LY96
CASP8,CD14
MRPS9,MRPL43
MRPS9,MRPL19
MRPS9,MRPL32
MRPS9,MRPL21
MRPS9,MRPL27
MRPS9,MRPL40
MRPS9,MRPL15
MRPS9,MRPL9
MRPS9,MRPL3
MRPS9,MRPL4
MRPS9,MRPL17
MRPS9,MRPL13
MRPS9,MRPL46
MRPS9,MRPL42
MRPS9,MRPL11
MRPS9,MRPL41
MRPS9,MRPL20
MRPS9,MRPL24
MRPS9,MRPL2
MRPS9,MRPL33
MRPS9,MRPL47
MRPS9,MRPL36
MRPS9,MRPL38
MRPS9,MRPL16
MRPS9,MRPL34
MRPS9,MRPL49
MRPS9,MRPL1
MRPS9,MRPL12
MRPS9,MRPL54
MRPS9,MRPL44
MRPS9,MRPL45
MRPS9,MRPL22
MRPS9,MRPL37
MRPS9,MRPL50
MRPS9,MRPL35
MRPS9,MRPL39
MRPS9,GADD45GIP1
MRPS9,MRPL51
MRPS9,MRPL18
MRPS9,MRPL48
MRPS9,MRPL55
MRPS9,MRPL30
MRPS9,MRPL14
MRPS9,MRPL57
MRPS9,MRPL53
MRPS9,MRPL10
MRPS9,OXA1L
MRPS9,MRPL28
MRPS9,MRPL52
NOTCH3,RBPJ
NOTCH3,PSEN2
NOTCH3,PSEN1
NOTCH3,POFUT1
NOTCH3,NUMB
NOTCH3,PSENEN
NOTCH3,RPS27A
NOTCH3,UBC
NOTCH3,UBB
NOTCH3,TMED2
NOTCH3,UBA52
TRMT112,ETF1
TRMT112,GSPT1
TRMT112,GSPT2
RIPK1,TRAF2
RIPK1,TRADD
RIPK1,TAB2
RIPK1,TNF
RIPK1,RIPK3
RIPK1,USP21
RIPK1,TNFRSF1A
RIPK1,TICAM1
RIPK1,SQSTM1
RIPK1,XIAP
RIPK1,TRAF6
RIPK1,TRAF1
RIPK1,TLR4
RIPK1,TAX1BP1
RIPK1,TNFRSF10A
RIPK1,TNFRSF10B
RIPK1,TAB3
RIPK1,TAB1
RIPK1,UBC
RIPK1,TICAM2
RIPK1,UBE2D1
RIPK1,STAT1
RIPK1,RPS27A
RIPK1,UBE2D3
RIPK1,UBE2D2
RIPK1,SMPD1
RIPK1,UBA52
RIPK1,UBB
RIPK1,MAP4K4
RIPK1,SMPD3
RPL13,RPS12
RPL13,RPS16
RPL13,RPLP1
RPL13,RPLP0
RPL13,RPS21
RPL13,RPL17
RPL13,RPL22
RPL13,RPL15
RPL13,RPL5
RPL13,RPL36A
RPL13,RPL32
RPL13,RPS25
RPL13,RPS14
RPL13,RPS7
RPL13,RPS19
RPL13,RPS15
RPL13,RPL29
RPL13,RPL37
RPL13,RPL6
RPL13,RPS11
RPL13,RPS5
RPL13,RPS2
RPL13,RPL14
RPL13,RPS27
RPL13,RPS8
RPL13,RPL9
RPL13,RPL13A
RPL13,UBA52
RPL13,RPS26
RPL13,RPL26
RPL13,RPS10
RPL13,RPL19
RPL13,RPL18
RPL13,RPS23
RPL13,RPL24
RPL13,RPL27A
RPL13,RPSA
RPL13,RPS29
RPL13,RPL31
RPL13,RPL27
RPL13,RPL21
RPL13,RPL7A
RPL13,RPL23A
RPL13,RPL35A
RPL13,RPL37A
RPL13,RPL23
RPL13,RPS15A
RPL13,RPL8
RPL13,RPL35
RPL13,RPS27A
RPL13,RPS24
RPL13,RPL30
RPL13,RPL4
RPL13,RPS6
RPL13,RPS9
RPL13,RPL38
RPL13,RPS13
RPL13,RPS17
RPL13,RPS3
RPL13,RPS28
RPL13,RPS4X
RPL13,RPL18A
RPL13,RPS3A
RPL13,RPL7
RPL13,RPL39
RPL13,RPL34
RPL13,RPLP2
RPL13,RPS18
RPL13,RPL28
RPL13,EIF2S3
RPL13,EIF2S1
RPL13,EIF2S2
RPL13,SPCS1
RPL13,SEC11C
RPL13,SPCS3
RPL13,SEC11A
RPL13,SPCS2
RPS27,RPSA
RPS27,RPS29
RPS27,RPS9
RPS27,RPS27A
RPS27,RPS6
RPS27,RPS3
RPS27,RPS28
RPS27,RPS4X
RPS27,RPS3A
RPS27,RPS8
RPS27,UBA52
RPS27,RPS5
RPS27,RPS7
RPS27,EIF2S3
RPS27,EIF2S1
RPS27,IMP3
RPS27,RRP7A
RPS27,FBL
RPS27,EMG1
RPS27,PWP2
RPS27,NOP56
RPS27,RCL1
RPS27,UTP18
RPS27,PDCD11
RPS27,NOP58
RPS27,MPHOSPH10
RPS27,RRP9
RPS27,BMS1
RPS27,TBL3
RPS27,KRR1
RPS27,WDR3
RPS27,IMP4
RPS27,EIF2S2
RPS27,NOC4L
RPS27,UTP14A
RPS27,RRP36
RPS27,UTP3
RPS27,DDX49
RPS27,DDX52
RPS27,UTP6
RPS27,WDR46
RPS27,NOP14
RPS27,DDX47
RPS27,SEC11A
RPS27,DCAF13
RPS27,DHX37
RPS27,SPCS1
RPS27,SPCS3
RPS27,UTP20
RPS27,SEC11C
RPS27,SPCS2
APP,PSEN1
APP,BACE1
APP,MAPK8
APP,CASP6
APP,PSEN2
APP,GAPDH
APP,MAPK10
APP,MAPK9
APP,MAPK3
APP,MAPK1
APP,NCSTN
APP,RELA
APP,FAM20C
APP,F9
APP,NFKB1
APP,NFKB2
APP,GPSM1
APP,CYSLTR1
APP,FAM20A
APP,GPSM3
APP,CYSLTR2
NPRL2,SEH1L
NPRL2,WDR59
NPRL2,WDR24
NPRL2,SESN2
NPRL2,RRAGA
NPRL2,SEC13
NPRL2,RRAGB
COPS6,CUL4A
COPS6,CUL4B
COPS6,NEDD8
COPS6,CUL2
COPS6,CUL1
COPS6,CUL3
COPS6,DCAF11
COPS6,DDB2
COPS6,FEM1B
COPS6,DCAF4
COPS6,DDB1
COPS6,LRR1
COPS6,RBX1
COPS6,BTBD1
COPS6,CUL5
COPS6,SKP1
COPS6,FBXO17
COPS6,FBXO7
COPS6,FBXL14
COPS6,WDTC1
COPS6,SKP2
COPS6,FBXL5
COPS6,DCAF6
COPS6,DDA1
COPS6,DCUN1D1
COPS6,DTL
COPS6,FBXL12
COPS6,RNF7
COPS6,FBXO9
COPS6,FBXO11
COPS6,FEM1A
COPS6,FEM1C
COPS6,FBXW7
COPS6,ERCC8
COPS6,FBXW4
COPS6,FBXO22
COPS6,FBXL18
COPS6,ASB6
COPS6,ASB14
COPS6,ASB8
COPS6,DCAF10
COPS6,ASB9
COPS6,ASB11
COPS6,ASB10
COPS6,ASB5
COPS6,ASB18
COPS6,ASB12
COPS6,ASB4
COPS6,ASB7
COPS6,ASB1
COPS6,ASB2
COPS6,ASB13
COPS6,FBXW9
COPS6,ASB15
COPS6,ANKRD9
COPS6,ASB16
COPS6,RUVBL1
COPS6,DCAF16
COPS6,DCAF17
COPS6,DCAF13
COPS6,KLHL42
COPS6,KLHL9
COPS6,KLHL13
COPS6,FBXW11
COPS6,KLHL22
COPS6,KLHL20
COPS6,FBXO44
COPS6,FBXO6
COPS6,FBXO32
COPS6,KLHL41
COPS6,FBXO31
COPS6,INO80
COPS6,RBBP5
COPS6,MCRS1
COPS6,FBXW8
COPS6,WDR5
COPS6,FBXW10
COPS6,FBXW2
COPS6,KCTD6
COPS6,FBXL19
COPS6,RBBP7
COPS6,WSB2
COPS6,KLHL2
COPS6,WSB1
COPS6,DCAF7
COPS6,FBXL15
COPS6,SPSB4
COPS6,KLHL11
COPS6,KEAP1
COPS6,BTBD6
COPS6,KBTBD13
COPS6,FBXL3
COPS6,FBXO10
COPS6,INO80E
COPS6,FBXL16
COPS6,FBXL13
COPS6,FBXL7
COPS6,INO80D
COPS6,FBXL22
COPS6,FBXL20
COPS6,KCTD7
COPS6,FBXL4
COPS6,FBXO41
COPS6,FBXL8
COPS6,FBXW12
COPS6,TULP4
COPS6,LMO7
COPS6,SPSB2
COPS6,FBXO40
COPS6,FBXO30
COPS6,FBXO27
COPS6,KLHL25
COPS6,FBXO4
COPS6,KLHL5
COPS6,SOCS6
COPS6,ASB17
COPS6,INO80B
COPS6,SPSB3
COPS6,VHL
COPS6,TFPT
COPS6,SOCS3
COPS6,GAN
COPS6,NFRKB
COPS6,FBXO15
GTF2H5,POLR2A
GTF2H5,POLR2L
GTF2H5,POLR2I
GTF2H5,POLR2G
GTF2H5,POLR2D
GTF2H5,POLR2B
GTF2H5,POLR2K
GTF2H5,POLR2J
GTF2H5,POLR2C
GTF2H5,POLR2F
GTF2H5,MNAT1
GTF2H5,POLR2E
GTF2H5,POLR2H
GTF2H5,XRCC1
GTF2H5,TAF11
GTF2H5,LIG1
GTF2H5,TAF2
GTF2H5,TAF4
GTF2H5,LIG3
GTF2H5,TAF12
GTF2H5,TAF6
GTF2H5,TAF5
GTF2H5,TAF10
GTF2H5,TAF4B
GTF2H5,TAF7
GTF2H5,TAF9B
GTF2H5,RPS27A
GTF2H5,TAF1L
GTF2H5,RNF111
GTF2H5,TAF13
GTF2H5,UBC
GTF2H5,UBB
GTF2H5,TAF9
GTF2H5,TAF1
GTF2H5,TAF15
GTF2H5,TAF3
GTF2H5,UBA52
WDR75,RRP9
WDR75,DCAF13
WDR75,WDR46
WDR75,PDCD11
WDR75,TBL3
WDR75,UTP6
WDR75,NOP56
WDR75,WDR3
WDR75,MPHOSPH10
WDR75,UTP3
WDR75,NOP58
WDR75,NOP14
WDR75,BMS1
WDR75,NOC4L
WDR75,UTP20
WDR75,FBL
WDR75,EMG1
WDR75,IMP4
WDR75,IMP3
WDR75,RCL1
WDR75,PWP2
WDR75,UTP14A
WDR75,KRR1
WDR75,DHX37
WDR75,DDX49
WDR75,DDX52
WDR75,DDX47
WDR75,XRN2
POLA2,PRIM1
POLA2,PRIM2
POLA2,POLD2
POLA2,POLD1
POLA2,RPA1
POLA2,POLD3
POLA2,RPA4
POLA2,RPA3
POLA2,POLD4
CDK4,CDKN1A
CDK4,CDKN2A
CDK4,CDKN1B
CDK4,CDKN2C
CDK4,CDKN2B
CDK4,RBL1
CDK4,SMAD3
CDK4,PRMT5
CDK4,CDKN2D
CDK4,E2F4
CDK4,WDR77
CDK4,PCNA
CDK4,E2F5
CDK4,RBL2
CDK4,FOXM1
