Gene1,stId,name,Gene2,connected_driver_gene,gene_type,expression_matrix
AKT1,AKT1,AKT1,PPP2R5C,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R5D,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R5E,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PRR5,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RAF1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RALGDS,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RARA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RARB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RARG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RICTOR,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RPS6KB2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RPTOR,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RRAGB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RRAGC,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RRAGD,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RXRA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RXRB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RXRG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,SFN,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TBC1D4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TERT,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TP53,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TSC1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TSC2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,UBE2D1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,USP8,,1,-0.2050869542149613
AKT1,AKT1,AKT1,VEGFA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,XIAP,,1,-0.2050869542149613
AKT1,AKT1,AKT1,YWHAE,,1,-0.2050869542149613
AKT1,AKT1,AKT1,YWHAG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,YWHAH,,1,-0.2050869542149613
AKT1,AKT1,AKT1,YWHAQ,,1,-0.2050869542149613
AKT1,AKT1,AKT1,YWHAZ,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ZFP36L1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,AURKA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CBLB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CD19,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CD40,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CD40LG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,DAB1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,EDN1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,EDNRA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ERBB3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ESR1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GAB1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GNAI1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GNAI2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GNAO1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GNAZ,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GRB10,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GRB14,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GRB2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,IL2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,IL2RA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,IL2RB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,IL2RG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ILK,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ITGA6,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ITGB4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,JAK1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,JAK3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LCK,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAPK14,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MLST8,,1,-0.2050869542149613
AKT1,AKT1,AKT1,OGT,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PARVA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PDGFB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PDGFRB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PDPK1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PELP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PHLPP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PHLPP2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3CG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3R5,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3R6,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R1B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PRKCZ,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PRKDC,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PTPN1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RAC1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RBP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,RELN,,1,-0.2050869542149613
AKT1,AKT1,AKT1,S1PR3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,SHC1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,SMO,,1,-0.2050869542149613
AKT1,AKT1,AKT1,SOS1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,SRC,,1,-0.2050869542149613
AKT1,AKT1,AKT1,STAT3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,STAT6,,1,-0.2050869542149613
AKT1,AKT1,AKT1,STRN,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TCL1A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TCL1B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,THEM4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TRAF6,,1,-0.2050869542149613
AKT1,AKT1,AKT1,TRIB3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,VLDLR,,1,-0.2050869542149613
AKT1S1,AKT1S1,AKT1S1,HSF1,,3,0.3803487639942848
AKT2,AKT2,AKT2,BAD,,1,-0.2551353641320392
AKT2,AKT2,AKT2,C2CD5,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CASP9,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CBY1,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CDKN1B,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CHUK,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CREB1,,1,-0.2551353641320392
AKT2,AKT2,AKT2,CTNNB1,,1,-0.2551353641320392
AKT2,AKT2,AKT2,DEPTOR,,1,-0.2551353641320392
AKT2,AKT2,AKT2,FOXO1,,1,-0.2551353641320392
AKT2,AKT2,AKT2,FOXO3,,1,-0.2551353641320392
AKT2,AKT2,AKT2,FOXO4,,1,-0.2551353641320392
AKT2,AKT2,AKT2,GSK3A,,1,-0.2551353641320392
